sector,etf,company,company_name
Health Care,XLV,MDT,Medtronic PLC
Financials,XLF,BRK.B,Berkshire Hathaway Inc Class B
Financials,XLF,JPM,JPMorgan Chase & Co
Financials,XLF,BAC,Bank of America Corp
Financials,XLF,WFC,Wells Fargo & Co
Financials,XLF,C,Citigroup Inc
Financials,XLF,MS,Morgan Stanley
Financials,XLF,GS,Goldman Sachs Group Inc
Financials,XLF,BLK,BlackRock Inc
Financials,XLF,SCHW,Charles Schwab Corp
Financials,XLF,AXP,American Express Co
Technology,XLK,AAPL,Apple Inc
Technology,XLK,MSFT,Microsoft Corp
Technology,XLK,NVDA,NVIDIA Corp
Technology,XLK,V,Visa Inc Class A
Technology,XLK,PYPL,PayPal Holdings Inc
Technology,XLK,MA,Mastercard Inc A
Technology,XLK,ADBE,Adobe Inc
Technology,XLK,INTC,Intel Corp
Technology,XLK,CRM,Salesforce.com Inc
Technology,XLK,CSCO,Cisco Systems Inc
Telecommunication,IYZ,CSCO,Cisco Systems Inc
Telecommunication,IYZ,VZ,Verizon Communications Inc
Telecommunication,IYZ,GRMN,Garmin Ltd
Telecommunication,IYZ,MSI,Motorola Solutions Inc
Telecommunication,IYZ,ANET,Arista Networks Inc
Telecommunication,IYZ,T,AT&T Inc
Telecommunication,IYZ,TMUS,T-Mobile US Inc
Telecommunication,IYZ,LUMN,Lumen Technologies Inc Ordinary Shares
Telecommunication,IYZ,FFIV,F5 Networks Inc
Telecommunication,IYZ,LBTYK.L,Liberty Global PLC C
Utilities,XLU,NEE,NextEra Energy Inc
Utilities,XLU,DUK,Duke Energy Corp
Utilities,XLU,SO,Southern Co
Utilities,XLU,D,Dominion Energy Inc
Utilities,XLU,EXC,Exelon Corp
Utilities,XLU,AEP,American Electric Power Co Inc
Utilities,XLU,SRE,Sempra Energy
Utilities,XLU,XEL,Xcel Energy Inc
Utilities,XLU,AWK,American Water Works Co Inc
Utilities,XLU,PEG,Public Service Enterprise Group Inc
Real estate,VNQ,VRTPX,Vanguard Real Estate II Index
Real estate,VNQ,AMT,American Tower Corp
Real estate,VNQ,PLD,Prologis Inc
Real estate,VNQ,CCI,Crown Castle International Corp
Real estate,VNQ,EQIX,Equinix Inc
Real estate,VNQ,PSA,Public Storage
Real estate,VNQ,DLR,Digital Realty Trust Inc
Real estate,VNQ,SPG,Simon Property Group Inc
Real estate,VNQ,SBAC,SBA Communications Corp
Real estate,VNQ,WELL,Welltower Inc
